Identificador,Nombre,Descripcion,Actor,Prioridad,Criterio de verificacion,Metrica,Valor objetivo
RF-01,Registrar cultivo,"El sistema debera registrar un cultivo con su nombre, su ciclo en dias, su umbral de humedad y su dosis de riego por hectarea.",Responsable de la explotacion,Must,Registrar un cultivo y comprobar que aparece con su umbral y su dosis.,,
RF-02,Asignar cultivo a una parcela,"El sistema debera asignar un cultivo a una parcela para una campana, con su fecha de siembra prevista.",Responsable de la explotacion,Must,Asignar un cultivo a una parcela y comprobar que la parcela toma su umbral de riego.,,
RF-03,Registrar la cosecha,"El sistema debera registrar la cosecha de una parcela con su fecha, su rendimiento en kilogramos por hectarea y su destino.",Operario de campo,Must,Registrar una cosecha y comprobar que aparece en el cuaderno de la parcela con su rendimiento.,,
RF-04,Comparar el rendimiento entre campanas,"El sistema debera mostrar el rendimiento de una parcela en las campanas registradas, con el cultivo de cada una.",Responsable de la explotacion,Should,"Con tres campanas registradas, consultar la parcela y comprobar que aparecen las tres con su rendimiento y su cultivo.",,
RF-05,Registrar el consumo electrico del bombeo,"El sistema debera almacenar el consumo electrico de cada estacion de bombeo, con su marca de tiempo y la parcela regada.",Contador electrico,Should,Enviar una lectura de consumo y comprobar que queda asociada a su estacion y a la parcela regada.,,
RF-06,Emitir alerta por consumo anomalo,"Cuando el consumo electrico de una estacion de bombeo supere en mas de un 30 por ciento su media de los ultimos treinta dias, el sistema debera notificar al responsable.",Sistema,Must,"Con una media conocida, enviar un consumo un 40 por ciento superior y comprobar que llega la notificacion.",,
RF-07,Exportar el cuaderno de campo,"El sistema debera exportar el cuaderno de campo de una explotacion en un archivo de valores separados por comas, con una fila por asiento.",Responsable de la explotacion,Should,Exportar un cuaderno con diez asientos y comprobar que el archivo trae diez filas ademas de la cabecera.,,
RF-08,Gestionar la trazabilidad,El sistema debera gestionar adecuadamente la trazabilidad de la explotacion.,Responsable de la explotacion,Must,,,
RNF-01,Integridad del cuaderno de campo,El sistema debera conservar inalterados los asientos del cuaderno de campo una vez registrados.,,Must,Intentar modificar un asiento registrado y comprobar que se rechaza y queda constancia del intento.,Asientos alterados sobre el total registrado,Cero asientos alterados
RNF-02,Tiempo de respuesta de la consulta,El sistema debera responder a la consulta del cuaderno de campo dentro del plazo establecido.,,Should,Consultar cien veces un cuaderno de mil asientos y comprobar que al menos noventa y cinco responden en menos de 2 segundos.,Tiempo de respuesta de la consulta del cuaderno,Menor de 2 segundos en el 95 por ciento de las consultas
